รหัสรถ,ทะเบียน,รุ่น,เส้นทาง,เลขตัวถัง
1,34-3543,Sunlong,โครงการ กทม.ดินแดง,LPHFA3BD4NY100327
2,34-3582,Sunlong,โครงการ กทม.ดินแดง,LPHFA3BD6NY100331
3,34-3585,Sunlong,โครงการ กทม.ดินแดง,LPHFA3BD8NY100332
4,34-3583,Sunlong,โครงการ กทม.ดินแดง,LPHFA3BDXNY100333
5,34-3581,Sunlong,โครงการ กทม.ดินแดง,LPHFA3BD1NY100334
6,16-3945,SkyWell,โครงการ กทม.ทวีวัฒนา,LC9KB4KH7JENJL360
7,34-3283,Asia Star,โครงการ กทม. สามเสน (เสริม),LJSKB5KP8MD001977
9,34-3282,Asia Star,โครงการ กทม. สามเสน (เสริม),LJSKB5KP6MD001976
10,33-6924,SkyWell,โครงการ กทม.ทวีวัฒนา,LD9KB4KH4HENJL264
11,33-8256,SkyWell,โครงการ กทม.ทวีวัฒนา,LD9KB4KH9HENJL258
24,34-3278,Asia Star,โครงการ กทม. สามเสน (เสริม),LJSKB5KP2MD001974
116,33-6923,SkyWell,โครงการเตรียมจุฬา,LD9KB4KHXHENJL267
12,34-3544,Sunlong,โครงการ กทม.ลาดกระบัง,LPHFA3BD6NY100328
13,34-3578,Sunlong,โครงการ กทม.ลาดกระบัง,LPHFA3BD8NY100329
14,34-3580,Sunlong,โครงการ กทม.ลาดกระบัง,LPHFA3BD4NY100330
15,34-3584,Sunlong,โครงการ กทม.ลาดกระบัง,LPHFA3BD3NY100335
16,34-3579,Sunlong,โครงการ กทม.ลาดกระบัง,LPHFA3BD5NY100336
17,34-3285,Asia Star,โครงการ กทม.สามเสน,LJSKB5KPXMD001978
18,34-3279,Asia Star,โครงการ กทม.สามเสน,LJSKB5KP8MD001980
19,34-3284,Asia Star,โครงการ กทม.สามเสน,LJSKB5KP1MD001982
20,34-3281,Asia Star,โครงการ กทม.สามเสน,LJSKB5KPXMD001981
8,34-3280,Asia Star,โครงการ กฟน,LJSKB5KP3MD001983
21,33-6925,SkyWell,โครงการเตรียมจุฬา,LD9KB4KH9HENJL261
22,กำลังจดทะเบียน (8.4 M),Sunlong,โครงการ กฟน,LPHFA3BD9NY100338
23,กำลังจดทะเบียน (8.4 M),Sunlong,สำรอง,LPHFA3BD7NY100337
25,34-3276,Asia Star,สำรอง,LJSKB9KT9MD001989
26,34-3277,Asia Star,โครงการ การบินไทย,LJSKB9KT7MD001991
27,41-8734,Sunlong,โครงการ การบินไทย,LPHJA4BG9PY000446
28,41-8729,Asia Star,โครงการธนารักษ์พัฒนาสินทรัพย์,LJSKB5KP9RD000957
29,41-8732,Asia Star,โครงการธนารักษ์พัฒนาสินทรัพย์,LJSKB5KP0RD000958
30,41-8731,Asia Star,โครงการธนารักษ์พัฒนาสินทรัพย์,LJSKB5KP2RD000959
31,41-8728,Asia Star,โครงการธนารักษ์พัฒนาสินทรัพย์,LJSKB5KP9RD000960
32,กำลังจดทะเบียน,Asia Star,โครงการธนารักษ์พัฒนาสินทรัพย์,LJSKB5KP8RD001758
33,กำลังจดทะเบียน,Asia Star,โครงการธนารักษ์พัฒนาสินทรัพย์,LJSKB5KP8RD001759
75,กำลังจดทะเบียน,Asia Star,โครงการธนารักษ์พัฒนาสินทรัพย์ (10เดือน),LJSKB5KP3MD002308
81,กำลังจดทะเบียน,Asia Star,โครงการธนารักษ์พัฒนาสินทรัพย์ (10เดือน),LJSKB5KP5MD002309
82,กำลังจดทะเบียน,Asia Star,โครงการธนารักษ์พัฒนาสินทรัพย์ (10เดือน),LJSKB5KP1MD001979
83,กำลังจดทะเบียน,Asia Star,โครงการธนารักษ์พัฒนาสินทรัพย์ (10เดือน),LJSKB5KP4MD001975
84,กำลังจดทะเบียน,Asia Star,โครงการธนารักษ์พัฒนาสินทรัพย์ (10เดือน),LJSKB5KP3MD002311
85,กำลังจดทะเบียน,Asia Star,โครงการธนารักษ์พัฒนาสินทรัพย์ (10เดือน),LJSKB5KP1MD002310
34,33-7245,SkyWell,โครงการ ธรรมศาสตร์ ท่าพระจันทร์,LD9KB4KH8HENJL266
35,33-9493,SkyWell,โครงการ ธรรมศาสตร์ ท่าพระจันทร์,LC9KB4KH7JENJL021
36,34-0221,SkyWell,โครงการ ธรรมศาสตร์ ท่าพระจันทร์,LMEBCG1G7JE003232
37,34-0224,SkyWell,โครงการ ธรรมศาสตร์ ท่าพระจันทร์,LMEBCG1G5JE003231
38,33-6980,SkyWell,โครงการเตรียมจุฬา,LC9KB4KHXJENJL014
